2NE1	Q171885
Louis-Jules Trochu	Q441235
Massimo Troisi	Q53035
Anthony Trollope	Q318399
Maarten Tromp	Q470200
Mario Tronti	Q706525
Trota of Salerno	Q16206163
Lothar von Trotha	Q65898
Nikolai Trubetzkoy	Q159491
Justin Trudeau	Q3099714
Truganini	Q242064
Dalton Trumbo	Q350666
Chögyam Trungpa	Q548323
Tsai Ing-wen	Q233984
Jolin Tsai	Q51101
Tsai Ming-liang	Q698710
Donald Tsang	Q15024
6th Dalai Lama	Q25251
Jan Tschichold	Q455232
Yumjaagiin Tsedenbal	Q275025
Félix Tshisekedi	Q29032770
Qian Xuesen	Q333500
Konstantin Tsiolkovsky	Q41239
Philibert Tsiranana	Q315944
Vassilis Tsitsanis	Q1500297
Pavel Tsitsianov	Q2416269
Yeshe Tsogyal	Q464086
Viktor Tsoi	Q487125
Georgios Tsolakoglou	Q471242
Je Tsongkhapa	Q323439
Eiji Tsuburaya	Q2466933
Daniel C. Tsui	Q202138
Lela Tsurtsumia	Q2639866
Marina Tsvetaeva	Q188526
Tu Youyou	Q462843
Yi-Fu Tuan	Q3279442
William Tubman	Q301707
Barbara W. Tuchman	Q59112
Franjo Tuđman	Q183703
Antony Tudor	Q608183
Edward Tufte	Q1293908
Mikhail Tukhachevsky	Q142141
Jethro Tull (agriculturist)	Q356696
Tunde King	Q1934800
Tung Chee-hwa	Q15027
Tunku Abdul Rahman	Q296317
Tunnels (comedy duo)	Q1058090
Gene Tunney	Q406742
Andrei Tupolev	Q219734
George Tupou I	Q379840
Gabdulla Tukay	Q315279
Samori Ture	Q469314
Henri de La Tour d'Auvergne, Viscount of Turenne	Q303216
Anne Robert Jacques Turgot	Q221303
Yavuz Turgul	Q8050423
Christy Turlington	Q284047
Ethel Turner	Q3327092
Florence Turner	Q1975914
Ike Turner	Q208871
Kathleen Turner	Q222008
Lana Turner	Q201034
Tina Turner	Q131814
Dick Turpin	Q977890
James Turrell	Q740966
Tushratta	Q317205
Shaykh Tusi	Q4116347
Donald Tusk	Q946
Marie Tussaud	Q219572
TVXQ	Q192983
Shania Twain	Q131433
Twice	Q20645861
Twiggy	Q229442
Cy Twombly	Q159566
Pontus de Tyard	Q867206
Anne Tyler	Q235615
Bonnie Tyler	Q156491
Wat Tyler	Q311820
Edward Burnett Tylor	Q141037
Yulia Tymoshenko	Q48283
Kenneth Tynan	Q374900
William Tyndale	Q219639
John Tyndall	Q360808
Snoop Dogg	Q6096
Cicely Tyson	Q238081
Mike Tyson	Q79031
Neil deGrasse Tyson	Q310903
Wyomia Tyus	Q229261
Fyodor Tyutchev	Q37217
U2	Q396
Ruaidrí Ua Conchobair	Q1660081
Jorge Ubico	Q549431
Paolo Uccello	Q192488
Mitsuko Uchida	Q238290
Kōhei Uchimura	Q316664
Udayana	Q3633956
Albert Uderzo	Q206685
Ernst Udet	Q57179
Ueda Akinari	Q714175
Uehara Yūsaku	Q128281
Nobuo Uematsu	Q312327
Uemura Shōen	Q275018
Morihei Ueshiba	Q182130
Uesugi Kenshin	Q311080
Karen Uhlenbeck	Q38636
Beate Uhse-Rotermund	Q62902
OC Ukeje	Q7072099
Toghon Temür	Q8666
Lesya Ukrainka	Q298033
Stanisław Ulam	Q234357
Galina Ulanova	Q28885
Walter Ulbricht	Q2628
Lyudmila Ulitskaya	Q266661
Liv Ullmann	Q191064
Karl Heinrich Ulrichs	Q60318
Umar ibn Abi Rabi'ah	Q1058694
Umberto I of Italy	Q153688
Umberto II of Italy	Q187149
Miyoshi Umeki	Q232588
David Unaipon	Q939297
Miguel de Unamuno	Q185085
The Undertaker	Q44304
Agness Underwood	Q4693154
Carrie Underwood	Q215546
Sigrid Undset	Q80889
William Unek	Q8019622
Giuseppe Ungaretti	Q311802
Tomi Ungerer	Q558085
Johnny Unitas	Q716029
Barry Unsworth	Q715796
John Updike	Q105756
Prabhas	Q3136554
Uppalavanna	Q3175198
Ur-Nammu	Q297417
Ahmed Urabi	Q365919
Pope Urban VI	Q171626
Pope Urban VIII	Q131579
Rafael Urdaneta	Q471325
Honoré d'Urfé	Q358491
Álvaro Uribe	Q187413
José Félix Uriburu	Q363555
Leon Uris	Q269129
Urukagina	Q315698
Jules Dumont d'Urville	Q204735
Usher (musician)	Q165911
Konstantin Ushinsky	Q2622325
Eduard Uspensky	Q18066
Dmitry Ustinov	Q48067
Peter Ustinov	Q55796
Oleksandr Usyk	Q938027
Hikaru Utada	Q234598
Sang Nila Utama	Q3521282
Utamaro	Q272045
Leonid Utesov	Q541493
Jørn Utzon	Q180398
Cenk Uygur	Q19658
Joop den Uyl	Q318320
Jamie Uys	Q277663
Gārgī Vāchaknavī	Q2731767
Roger Vadim	Q383420
Agrippina Vaganova	Q236413
Vajiralongkorn	Q548733
Vajiravudh	Q161389
Suzanne Valadon	Q156889
Germán Valdés	Q41129
Ramón Valdés	Q7290570
Ritchie Valens	Q309725
Catherynne M. Valente	Q859065
Valentinian I	Q46720
Valentino (fashion designer)	Q379664
Paul Valéry	Q200639
Doreen Valiente	Q272601
Vallabha	Q2343604
César Vallejo	Q222744
Isaac A. Van Amburgh	Q1505315
Martin Van Buren	Q11820
Jean-Claude Van Damme	Q308840
Simon van der Meer	Q104779
Dick Van Dyke	Q310295
Jo Van Fleet	Q233832
Van Halen	Q190155
Hubert Van Innis	Q467653
Johan van Oldenbarnevelt	Q166623
Stephen Van Rensselaer	Q323610
Gus Van Sant	Q25186
John Hasbrouck Van Vleck	Q193655
Jack Vance	Q312632
George Vancouver	Q205485
Vanderbilt family	Q284829
Gloria Vanderbilt	Q264730
William Henry Vanderbilt	Q578647
Luther Vandross	Q311306
Lourdes Van-Dúnem	Q1790831
Vangelis	Q153172
Vanisri	Q7914980
Keng Vannsak	Q1388549
Mordechai Vanunu	Q48775
Harry Vardon	Q945877
Francisco Varela	Q923582
Bernhardus Varenius	Q60215
Edgard Varèse	Q57247
Marthanda Varma	Q2596305
Raja Ravi Varma	Q333453
Swathi Thirunal Rama Varma	Q2283372
Yanis Varoufakis	Q40688
Sylvie Vartan	Q240885
Victor Vasarely	Q154448
José Vasconcelos	Q1091141
Aleksandr Vasilevsky	Q150894
Vladimir Vasiliev (dancer)	Q2533597
George Vassiliou	Q39180
Vasily I of Moscow	Q272156
Vasily II of Moscow	Q210359
Vasili III of Russia	Q49686
Vasishtha	Q241900
Viktor Vasnetsov	Q204138
Lucas Vázquez de Ayllón	Q1028779
Francisco Vázquez de Coronado	Q271974
François Vatel	Q430705
Vātsyāyana	Q380234
Sisavang Vatthana	Q379797
Sébastien Le Prestre, Marquis of Vauban	Q192839
Henry Vaughan	Q545363
Sarah Vaughan	Q229513
Stevie Ray Vaughan	Q202937
Nikolai Vavilov	Q214926
Pero Vaz de Caminha	Q1361936
Ivan Vazov	Q310630
Tabaré Vázquez	Q9099
Oswald Veblen	Q536558
Thorstein Veblen	Q73646
Veerappan	Q555252
Conrad Veidt	Q58801
Simone Veil	Q298180
Juan Velasco Alvarado	Q311431
José María Velasco Ibarra	Q707171
Regine Velasquez	Q446854
Diego Velázquez de Cuéllar	Q310566
Henry van de Velde	Q154083
Lupe Vélez	Q267247
Immanuel Velikovsky	Q349749
Caetano Veloso	Q309983
Martinus J. G. Veltman	Q202149
The Velvet Underground	Q103550
Helen Vendler	Q5703331
Eleftherios Venizelos	Q205545
J. Craig Venter	Q311003
Michael Ventris	Q259378
Lino Ventura	Q337260
Robert Venturi	Q212312
Gwen Verdon	Q508843
Vasily Vereshchagin	Q127017
Giovanni Verga	Q271814
Esther Vergeer	Q259606
Charles Gravier, comte de Vergennes	Q726681
Émile Verhaeren	Q193680
Paul Verhoeven	Q129079
Guy Verhofstadt	Q12978
Paul Verlaine	Q755
Vladimir Vernadsky	Q316371
Dai Vernon	Q544602
Paolo Veronese	Q9440
Giovanni da Verrazzano	Q147676
Andrea del Verrocchio	Q183458
Donatella Versace	Q229437
Gianni Versace	Q264490
Alexander Vertinsky	Q516281
Dziga Vertov	Q55193
Veruschka	Q64610
Hendrik Verwoerd	Q297000
Vespasian	Q1419
Simonetta Vespucci	Q234125
Sebastian Vettel	Q42311
David Vetter	Q726179
Valentina Vezzali	Q229967
Théophile de Viau	Q462644
Maryna Viazovska	Q23721911
William Vickrey	Q295673
Giambattista Vico	Q178709
Victor Emmanuel I	Q175250
Victor Emmanuel III	Q150642
Victor Emmanuel II	Q168691
Guadalupe Victoria	Q311425
Tomás Luis de Victoria	Q215128
Paul Vidal de La Blache	Q311865
Gore Vidal	Q167821
Gabriel González Videla	Q815
Jorge Rafael Videla	Q75853
Eugène-François Vidocq	Q122818
King Vidor	Q51133
Vidya Balan	Q159166
Ishwar Chandra Vidyasagar	Q964111
João Bernardo Vieira	Q106164
Meredith Vieira	Q434497
François Viète	Q188623
Vigdís Finnbogadóttir	Q189797
Élisabeth Vigée Le Brun	Q213163
Gustav Vigeland	Q213956
Massimo Vignelli	Q2317903
Giacomo Barozzi da Vignola	Q297565
Alfred de Vigny	Q309702
Jean Vigo	Q55395
Vijay (actor)	Q528496
Vijayalaya Chola	Q7929271
Vijaya Shanthi	Q3595529
Alicia Vikander	Q439314
Demetrios Vikelas	Q297024
Vikingarna (band)	Q644865
Guillermo Vilas	Q201515
Valerie Adams	Q6357
Heitor Villa-Lobos	Q203514
Brenda Villa	Q2563685
Village People	Q219874
Carlos Raúl Villanueva	Q1043186
Gualberto Villarroel	Q886495
Villas-Bôas brothers	Q9003150
Hervé Villechaize	Q954841
Auguste Villiers de l'Isle-Adam	Q366285
AB de Villiers	Q3011889
George Villiers, 1st Duke of Buckingham	Q313817
Gérard de Villiers	Q965375
Gene Vincent	Q82311
Eugène Viollet-le-Duc	Q272912
Madeleine Vionnet	Q266934
Marcus Vipsanius Agrippa	Q48174
Lasse Virén	Q52611
Tessa Virtue	Q233492
Luchino Visconti	Q13888
Vishvamitra	Q2773345
Anna Vissi	Q229606
K. Viswanath	Q6343602
Kimpa Vita	Q467347
Vital Signs (band)	Q7563208
Vitas	Q362258
Prasanna Vithanage	Q3401333
Francisco de Vitoria	Q312384
Monica Vitti	Q106881
Carlos Vives	Q965888
Martín Vizcarra	Q24030720
Calogero Vizzini	Q682117
Pancho Vladigerov	Q528781
Vladimir Bogoyavlensky	Q2994254
A. E. van Vogt	Q315059
Jon Voight	Q167520
Claire Voisin	Q468049
Heinrich Vollmer	Q63945
Gian Maria Volonté	Q317110
Maximilian Voloshin	Q358885
Vito Volterra	Q216812
Diane von Fürstenberg	Q272438
Ludwig von Mises	Q84233
Dita Von Teese	Q244214
Cecily von Ziegesar	Q234255
Joost van den Vondel	Q312673
Sisavang Vong	Q379794
Lindsey Vonn	Q10068
Virji Vora	Q7934824
Kliment Voroshilov	Q186185
Behrouz Vossoughi	Q2893939
Alexander Vovin	Q848595
Diana Vreeland	Q450619
Hugo de Vries	Q160192
Vsevolod the Big Nest	Q348689
Juan Vucetich	Q1284975
Louis Vuitton (designer)	Q277616
Vyjayanthimala	Q467977
Bill W.	Q571646
The Wachowskis	Q195719
Dwyane Wade	Q31683
Thomas Francis Wade	Q453399
Robert Wadlow	Q192789
Carl Wagner	Q96376
Honus Wagner	Q1316903
Otto Wagner	Q84287
Robert Wagner	Q310493
Waheed Murad	Q3249625
Abdurrahman Wahid	Q76167
Mark Wahlberg	Q164119
Taika Waititi	Q2388576
Tom Waits	Q184805
Andrzej Wajda	Q106685
Andrew Wakefield	Q508568
Thomas Wakley	Q334239
Selman Waksman	Q232308
Derek Walcott	Q132701
Kurt Waldheim	Q1260
Jan-Ove Waldner	Q345360
Jeremy Waldron	Q3177364
Martin Waldseemüller	Q57197
Anna Walentynowicz	Q240109
Diana, Princess of Wales	Q9685
Jimmy Wales	Q181
Shoqan Walikhanov	Q135392
Christopher Walken	Q185051
Alice Walker	Q215868
Frederic John Walker	Q178917
Helen M. Walker	Q18599860
Johnny Walker (actor)	Q3182985
Kara Walker	Q444277
Madam C. J. Walker	Q447716
Margaret Walker	Q1236772
Murray Walker	Q443495
Rebecca Walker	Q468676
William Walker (filibuster)	Q196401
David Foster Wallace	Q313246
DeWitt Wallace	Q5244201
Edgar Wallace	Q271824
George Wallace	Q313776
Henry A. Wallace	Q251666
Lila Acheson Wallace	Q1824903
Mike Wallace	Q325487
William Wallace	Q82457
Raoul Wallenberg	Q152850
Karl Wallenda	Q1632482
Nik Wallenda	Q2412207
Albrecht von Wallenstein	Q153545
Fats Waller	Q310476
Immanuel Wallerstein	Q494287
David Walliams	Q359665
Hal B. Wallis	Q472520
John Wallis	Q208359
Samuel Wallis	Q433993
Horace Walpole	Q309903
Léon Walras	Q13509
Don Walsh	Q714483
Kerri Walsh Jennings	Q232666
Raoul Walsh	Q72756
Mika Waltari	Q193111
Fritz Walter	Q22717
John Walter (publisher)	Q322295
Barbara Walters	Q231417
Walther von der Vogelweide	Q44385
Ernest Walton	Q183631
William Walton	Q310939
Darrell Waltrip	Q946220
Christoph Waltz	Q76819
Abby Wambach	Q233112
Wan Laiming	Q10865150
An Wang	Q92926
Wang Anshi	Q319618
Wang Bo (poet)	Q1275321
Wang Dan (dissident)	Q610054
Wang Danfeng	Q9312298
Wang Dayuan	Q835720
Wang Huning	Q64543
Wang Jian (Qin)	Q706855
Wang Jianlin	Q2105413
Wang Jingwei	Q22303
Wang Mang	Q7250
Wang Ming	Q699327
Wang Nan (table tennis)	Q230693
Wang Shifu	Q627017
Wang Shu	Q336620
Wang Zhen (inventor)	Q716074
Jigme Dorji Wangchuck	Q298020
Jigme Khesar Namgyel Wangchuck	Q57376
Jigme Singye Wangchuck	Q200273
Ugyen Wangchuck	Q333866
Jigme Wangchuck	Q318177
Samuel Wanjiru	Q15516
Felix Wankel	Q77097
Osman Waqialla	Q2721113
Sa'd ibn Abi Waqqas	Q380184
Otto Heinrich Warburg	Q76464
Paul Warburg	Q70140
Jesmyn Ward	Q3177574
Lester Frank Ward	Q679184
Theodore Ward	Q7782092
Shane Warne	Q555240
Kurt Warner	Q945750
Sam Warner	Q1384655
John Warnock	Q1344392
Diane Warren	Q237354
Earl Warren	Q311197
Ed and Lorraine Warren	Q717236
Meralda Warren	Q15334852
Robert Penn Warren	Q312720
Manju Warrier	Q6750439
Thomas Warton	Q1971218
Dionne Warwick	Q234695
Margaret Floy Washburn	Q6759414
Sherwood Washburn	Q2278483
Denzel Washington	Q42101
Dinah Washington	Q229322
George Washington (inventor)	Q2366114
Martha Washington	Q191789
Raymond Washington	Q960697
Wasim Akram	Q982801
Lew Wasserman	Q1361763
Wendy Wasserstein	Q450050
John William Waterhouse	Q212754
Ethel Waters	Q242725
John Waters	Q314926
Muddy Waters	Q220707
Roger Waters	Q180861
Carleton Watkins	Q2939083
Vernon Watkins	Q325437
Debbie Watson (water polo)	Q3704363
Emma Watson	Q39476
Thomas J. Watson	Q435716
Tom Watson (golfer)	Q532111
Bill Watterson	Q348772
Alan Watts	Q354867
Isaac Watts	Q537034
Evelyn Waugh	Q107002
Steve Waugh	Q735048
George Weah	Q173139
Sigourney Weaver	Q102124
Gary Webb	Q1346239
Howard Webb	Q187480
Karrie Webb	Q271024
Matthew Webb	Q964345
Carl Maria von Weber	Q154812
Ernst Heinrich Weber	Q76889
Lois Weber	Q462440
Wilhelm Eduard Weber	Q76707
Anton Webern	Q190933
Daniel Webster	Q106231
John Webster	Q225904
William H. Webster	Q368720
David Wechsler	Q451248
Camilla Wedgwood	Q5026602
Weegee	Q445857
The Weeknd	Q2121062
Apichatpong Weerasethakul	Q445198
Weezer	Q209956
Wei Jingsheng	Q318130
Wei Qing	Q701330
Joe Weider	Q719348
Charles Weidman	Q2438228
André Weil	Q323232
Simone Weil	Q157309
Kurt Weill	Q55004
Steven Weinberg	Q179282
Harvey Weinstein	Q531599
Peter Weir	Q55424
Adam Weishaupt	Q159481
August Weismann	Q76465
Rainer Weiss	Q2128461
Rachel Weisz	Q134077
Chaim Weizmann	Q172183
Justin Welby	Q26419
Jack Welch	Q355314
Raquel Welch	Q229545
William H. Welch	Q174743
Theodore Dwight Weld	Q2157757
James Weldon Johnson	Q478450
Frank Welker	Q296577
Egon Wellesz	Q213680
Julius Wellhausen	Q76897
Henry Wells	Q364220
Ida B. Wells	Q289428
Welser family	Q2558023
Irvine Welsh	Q178403
Eudora Welty	Q259364
Duke Wen of Jin	Q561973
Wen Jiabao	Q16628
Wen Zhengming	Q306673
Wenceslaus II of Bohemia	Q155581
Wenceslaus I, Duke of Bohemia	Q196527
Benny Wenda	Q2562259
Wim Wenders	Q55411
Albert Wendt	Q1235864
Arsène Wenger	Q47576
Jann Wenner	Q519143
William Wentworth	Q963153
Yunmen Wenyan	Q2165671
Franz Werfel	Q78514
Abraham Gottlob Werner	Q58751
Alfred Werner	Q123014
Isabell Werth	Q238769
Fredric Wertham	Q529939
Charles Wesley	Q349070
Elías Wessin y Wessin	Q458504
Daniel B. Wesson	Q3701558
Adam West	Q351156
Cornel West	Q712469
Dorothy West	Q371930
Gladys West	Q48399950
Jerry West	Q311195
Kanye West	Q15935
Martin Litchfield West	Q669908
Nathanael West	Q370521
Rebecca West	Q236669
Edvard Westermarck	Q722835
William Westmoreland	Q298793
Joan Weston	Q6205550
Vivienne Westwood	Q158067
Christiaan de Wet	Q547828
Rogier van der Weyden	Q68631
Friedrich Weyerhäuser	Q91842
James Whale	Q381831
Whang-od	Q21176511
Phillis Wheatley	Q257911
Charles Wheatstone	Q156942
Joss Whedon	Q298025
Anna Johnson Pell Wheeler	Q121496
John Archibald Wheeler	Q202631
Mortimer Wheeler	Q733878
Eleazar Wheelock	Q925988
William Whewell	Q333922
The White Stripes	Q268160
Barry White	Q213647
Betty White	Q373895
Clarence Hudson White	Q942472
E. B. White	Q361617
Ed White (astronaut)	Q216726
Ellen G. White	Q292290
Harrison White	Q1586301
James S. White	Q722689
Leslie White	Q382021
Marco Pierre White	Q2917016
Pearl White	Q271575
Reggie White	Q946034
Ryan White	Q320163
Shaun White	Q288656
T. H. White	Q453410
Vanna White	Q442202
Walter White (activist)	Q3565918
George Whitefield	Q314399
Colson Whitehead	Q509662
William Whitehead (poet)	Q921241
Paul Whiteman	Q470182
Gough Whitlam	Q23333
Charles Whitman	Q453209
Gertrude Vanderbilt Whitney	Q271910
Mary Watson Whitney	Q537158
Peggy Whitson	Q235523
Robert Whittaker (ecologist)	Q336893
John Greenleaf Whittier	Q458372
M. Stanley Whittingham	Q285062
Kathy Whitworth	Q2266429
The Who	Q93346
Benjamin Lee Whorf	Q331853
Hayley Wickenheiser	Q235029
Joko Widodo	Q3318231
Carl Wieman	Q206379
Wilhelm Wien	Q57068
Alexander S. Wiener	Q706543
Norbert Wiener	Q178577
Henryk Wieniawski	Q272184
Anna Wierzbicka	Q262474
Simon Wiesenthal	Q49086
Dianne Wiest	Q217573
Kate Douglas Wiggin	Q438241
Bradley Wiggins	Q193876
The Wiggles	Q1409039
Mary Wigman	Q77127
Eugene Wigner	Q155790
Raden Wijaya	Q49334
Tribhuwana Wijayatunggadewi	Q3631722
Ulrich von Wilamowitz-Moellendorff	Q61863
Mats Wilander	Q16475
Frank Wilczek	Q107450
Jonathan Wild	Q380805
Gene Wilder	Q191966
Laura Ingalls Wilder	Q237514
Thornton Wilder	Q155087
Geert Wilders	Q105338
Andrew Wiles	Q184433
Wiley (musician)	Q936479
Kehinde Wiley	Q329092
Wilhelmina of the Netherlands	Q150747
William R. Wilkerson	Q15485276
Maurice Wilkes	Q62857
Geoffrey Wilkinson	Q274128
John Wilkinson (industrialist)	Q1204884
Jonny Wilkinson	Q318920
Lisa Wilkinson	Q12072926
George Will	Q1270178
Adrian Willaert	Q312615
Willem-Alexander of the Netherlands	Q154952
William I of the Netherlands	Q2079957
William II of England	Q102005
William II of the Netherlands	Q154287
William II, Prince of Orange	Q311455
William III of the Netherlands	Q125649
William IV	Q130822
William IV, Prince of Orange	Q380949
William V, Prince of Orange	Q312215
William IX, Duke of Aquitaine	Q5351
William of Rubruck	Q316083
Prince William, Duke of Cumberland	Q378088
Bernard Williams	Q345641
Bert Williams	Q2397929
Betty Williams	Q157690
Brian Williams	Q459695
Cicely Williams	Q5119355
Eric Williams	Q1338879
Esther Williams	Q232395
Jody Williams	Q211239
Margery Williams	Q948301
Mary Lou Williams	Q126677
Pharrell Williams	Q14313
Raymond Williams	Q394628
Robbie Williams	Q47875
Roberta Williams	Q55176
Robin Williams	Q83338
Roger Williams	Q391591
Rowan Williams	Q49615
Stanley Williams	Q317713
Ted Williams	Q172478
Venus Williams	Q11578
William Carlos Williams	Q178106
David Williamson	Q968980
Oliver E. Williamson	Q232062
Bruce Willis	Q2680
Ellen Willis	Q5365061
Nathaniel Parker Willis	Q971493
Helen Wills	Q54543
Bob Wills	Q888326
Tom Wills	Q3530930
William John Wills	Q1392544
John Wilmot, 2nd Earl of Rochester	Q358912
Ian Wilmut	Q1353638
A'ja Wilson	Q21623331
August Wilson	Q764812
Brian Wilson	Q313013
C. T. R. Wilson	Q162900
E. O. Wilson	Q211029
Edmund Wilson	Q704931
Harold Wilson	Q128956
Jackie Wilson	Q181483
Jacqueline Wilson	Q240647
John Tuzo Wilson	Q472056
Kenneth G. Wilson	Q193503
Lanford Wilson	Q503635
Robert Woodrow Wilson	Q171034
William Wilson (aquatics)	Q780278
Walter Winchell	Q3097952
Oliver Winchester	Q727677
Johann Joachim Winckelmann	Q57280
Amy Winehouse	Q15897
David J. Wineland	Q61045
Hans Günter Winkler	Q62177
Sarah Winnemucca	Q438194
Donald Winnicott	Q451348
Kate Winslet	Q202765
Kathleen Winsor	Q2342652
Harry Winston	Q2522402
Jonathan Winters	Q4538
Shelley Winters	Q202144
John Winthrop	Q720766
Nicholas Winton	Q460431
Tim Winton	Q327526
Anna Wintour	Q230744
Wiranto	Q731740
Kwasi Wiredu	Q570103
Louis Wirth	Q692056
Niklaus Wirth	Q92604
Norman Wisdom	Q349217
Brownie Wise	Q2892698
Robert Wise	Q59821
Michał Korybut Wiśniowiecki	Q54041
Clark Wissler	Q1074998
Hendrik Witbooi (Nama chief)	Q705564
Reese Witherspoon	Q44063
Johan de Witt	Q318362
Katarina Witt	Q58028
Sergei Witte	Q155329
Edward Witten	Q201513
Monique Wittig	Q263201
Michael Wittmann	Q57201
Wives of Muhammad	Q2354223
Wizkid	Q16233663
Władysław I Łokietek	Q54048
Władysław I Herman	Q54046
Władysław IV Vasa	Q54054
Anita Włodarczyk	Q6399
P. G. Wodehouse	Q207515
Carl Woese	Q310067
Terry Wogan	Q734264
Susan Wojcicki	Q55183
John Wojtowicz	Q3395345
Dick Wolf	Q550381
Eric Wolf	Q89562
Friedrich August Wolf	Q65337
Hugo Wolf	Q215747
Markus Wolf	Q57399
Gene Wolfe	Q361149
James Wolfe	Q379812
Thomas Wolfe	Q314256
Tom Wolfe	Q216195
Michael Wolff (journalist)	Q6835425
Marvin Wolfgang	Q1906058
Adolf Wölfli	Q364638
Wolfman Jack	Q1935194
Wolfram von Eschenbach	Q18821
Richard Wolin	Q7330069
William Hyde Wollaston	Q312975
Thomas Wolsey	Q206512
Wonder Girls	Q476119
Anna May Wong	Q232376
Faye Wong	Q464650
Wong Fei-hung	Q317869
Joshua Wong	Q9455382
Wonhyo	Q485114
John Woo	Q55432
Elijah Wood	Q483771
Grant Wood	Q217434
Ed Wood	Q221843
Leonard Wood	Q887716
Melanie Wood	Q6811383
Natalie Wood	Q180919
John Wooden	Q551032
Victoria Woodhull	Q260378
Carter G. Woodson	Q5047158
C. Vann Woodward	Q612410
Joanne Woodward	Q1111542
Alexander Woollcott	Q361859
Frank Winfield Woolworth	Q2142312
Alfred Worden	Q539385
Ole Worm	Q463570
Frank Worrell	Q954650
Charles Frederick Worth	Q454330
Irene Worth	Q188389
Herman Wouk	Q49072
Ferdinand von Wrangel	Q135329
Pyotr Wrangel	Q108260
Christopher A. Wray	Q30148517
Fay Wray	Q266694
Billy Wright (loyalist)	Q3640063
Judith Wright	Q469885
Margaret H. Wright	Q16494
Mickey Wright	Q3311905
Richard Wright (author)	Q319820
Steven Wright	Q1969967
Will Wright (game designer)	Q309493
Emperor Wu of Northern Zhou	Q1327591
Wu Cheng'en	Q228889
Chien-Shiung Wu	Q450317
Wu Daozi	Q1196022
Emperor Wu of Jin	Q7356
Emperor Wu of Song	Q49699
Wu Han (historian)	Q705864
King Wu of Zhou	Q1061289
Wu Lien-teh	Q1036871
Wu Minxia	Q233779
Wu Zixu	Q1268609
Wu Zuguang	Q10919666
Wu'er Kaixi	Q610164
Fritz Wunderlich	Q57809
Aileen Wuornos	Q264849
Hayam Wuruk	Q29085
Ireen Wüst	Q239546
Thomas Wyatt (poet)	Q314325
Thomas Wyatt the Younger	Q187173
William Wycherley	Q978564
Andrew Wyeth	Q316325
Jane Wyman	Q95055
Tammy Wynette	Q234017
Steve Wynn	Q524369
X Japan	Q179767
Iannis Xenakis	Q152880
Xenophanes	Q131671
Guo Xi	Q536645
Jia Xian	Q711774
Xianfeng Emperor	Q334452
Xiang Yu	Q182266
Xiang Zhongfa	Q1369370
Xu Xiangqian	Q702194
Emperor Xianzong of Tang	Q9761
Xiao Hong	Q464825
Emperor Xiaowen of Northern Wei	Q1327614
Xie Jin	Q562184
Xie Lingyun	Q627442
Han Xin	Q574498
Xiong Shili	Q699536
Xu Jinglei	Q297058
Xu Shen	Q559731
Xu Shichang	Q702428
Xu Zhonglin (novelist)	Q3052283
Xuande Emperor	Q9977
Xue Ji	Q6147970
Xuxa	Q275939
Ya'qub ibn al-Layth al-Saffar	Q45261
Kateb Yacine	Q379962
Zera Yacob (philosopher)	Q2896591
Ram Baran Yadav	Q57441
Yagan	Q558986
Alka Yagnik	Q466826
Alexei Yagudin	Q316861
Yahya Muhammad Hamid ed-Din	Q163945
Yakub Beg of Yettishar	Q558247
Elihu Yale	Q514846
Rosalyn Sussman Yalow	Q107402
Koichi Yamadera	Q333194
Tetsuya Yamagami	Q112967076
Yamagata Aritomo	Q297636
Kristi Yamaguchi	Q237651
Momoe Yamaguchi	Q1198084
Yoshiko Yamaguchi	Q253862
Yohji Yamamoto	Q707890
Minoru Yamasaki	Q347215
Tatsuro Yamashita	Q1154190
Tomoyuki Yamashita	Q254004
Yamato Takeru	Q461258
Hiroshi Yamauchi	Q354768
Shunpei Yamazaki	Q3063491
Maurice Yaméogo	Q442765
Yan Fu	Q559957
Tadashi Yanai	Q3276951
Edward Yang	Q716700
Emperor Yang of Sui	Q7419
Yang Guifei	Q298046
Yang Hui	Q574521
Yang Hyun-suk	Q490938
Jerry Yang	Q215284
Yang Liwei	Q147581
Yang Shangkun	Q377935
Yang Zhu	Q469931
Daddy Yankee	Q272591
"Weird Al" Yankovic	Q8349
Oleg Yankovsky	Q314067
Yanni	Q234716
Viktor Yanukovych	Q1459658
Andrew Yao	Q62888
Yao Ming	Q58590
Deng Yaping	Q270661
Umaru Musa Yar'Adua	Q104705
Cale Yarborough	Q946161
Ivan Yarygin	Q1652538
Yash (actor)	Q15721444
Lev Yashin	Q167828
Richard Yates (novelist)	Q544611
Shing-Tung Yau	Q334760
Stefan Yavorsky	Q2653133
Yax Ehb Xook	Q18217425
Yax Nuun Ahiin I	Q4539887
Tommy Robinson	Q2345201
Yazdegerd III	Q208463
Yazid I	Q217442
Ye Jianying	Q504372
Ye Shengtao	Q282412
Yi Wanyong	Q495458
Bunny Yeager	Q529258
Chuck Yeager	Q271939
Alexander Yegorov (general)	Q291310
Yekuno Amlak	Q888003
Janet Yellen	Q263725
Yellow Magic Orchestra	Q854590
Hande Yener	Q82199
Michelle Yeoh	Q214289
Yeongjo of Joseon	Q485009
Aleksey Yermolov	Q328411
Alexandre Yersin	Q123920
Yes (band)	Q184386
Sergei Yesenin	Q31628
Chen Yi (marshal)	Q188408
Yi Cheong-jun	Q31737
